State,Total_Production,Planted_Area,Production_Density
Johor,4055783,670862,5.9656821
Kedah,308361,85871,3.5909241
Kelantan,480620,158641,3.0295797
Malacca,248057,51083,4.8559098
Negeri Sembilan,888451,177467,5.0063167
Pahang,4033704,746070,5.4066072
Penang,42526,8234,5.1648045
Perak,2675537,349224,7.6618451
Perlis,16583,881,18.8229285
Selangor,724504,104148,6.9564619
Terengganu,570796,166402,3.4302195
Sabah,6602849,1510025,5.0159935
Sarawak,5986406,1549672,3.9644342
Kuala Lumpur,0,0,0
Labuan,0,0,0
Putrajaya,0,0,0
